Query;PT;EN;ES
description;Monitora a ocorrência de termos específicos na surface, deep e dark web. Podem ser informados o nome da marca, projeto ou produto, e quaisquer termos relacionados a serem monitorados: palavras-chave, sub-marcas, slogan e afins.;Monitors the occurrence of specific terms on the surface, deep and dark web. The name of the brand, project or product can be informed, and any related terms to be monitored: keywords, sub-brands, slogan and the like.;Supervisa la aparición de términos específicos en la web superficial, profunda y oscura. Se puede informar el nombre de la marca, proyecto o producto, y los términos relacionados a monitorear: palabras clave, submarcas, eslogan y similares.
placeholder;Marca e termos relacionados;Brand and related terms;Marca y términos relacionados
domainCreate;;;
type;Domínio;Domain;Dominio
shortDesc;Monitora o domínio de sites e emails corporativos a partir da URL;Monitor website domain and corporate emails from URL;Supervise el dominio del sitio web y los correos electrónicos corporativos desde la URL
title;Sobre ativos do tipo Domínio;About Domain type assets;Acerca de los activos de tipo de dominio
description;A partir da URL principal do domínio fornecido é possível monitorar a internet em busca de links maliciosos relacionados a campanhas de phishing, spam, malware e outras ameaças - além de endereços de email não autorizados utilizando seu domínio.;From the main URL of the provided domain, it is possible to monitor the internet in search of malicious links related to phishing campaigns, spam, malware and other threats - in addition to unauthorized email addresses using your domain.;Desde la URL principal del dominio provisto, es posible monitorear Internet en busca de enlaces maliciosos relacionados con campañas de phishing, spam, malware y otras amenazas, además de direcciones de correo electrónico no autorizadas que usan su dominio.
placeholder;exemplo.net.br;example.net.br;ejemplo.net.br
vipCreate;;;
shortDesc;Monitora a identidade de C-Levels e diretoria a partir de nome e emails;Monitors the identity of C-Levels and board from name and emails;Supervisa la identidad de los C-Levels y la junta a partir del nombre y los correos electrónicos
title;Sobre ativos do tipo VIP;About VIP-type assets;Acerca de los activos de tipo VIP
description;Ativos que identificam C-Levels de organizações. A partir do nome e endereços de e-mail fornecidos, monitoramos vazamentos de credenciais e informações sigilosas, identificando ocorrências fraudulentas como spoofing e outras ameaças.;Assets that identify C-Levels of organizations. From the name and email addresses provided, we monitor leaks of credentials and sensitive information, identifying fraudulent occurrences such as spoofing and other threats.;Activos que identifican a los C-Levels de las organizaciones. A partir del nombre y las direcciones de correo electrónico proporcionados, monitoreamos las filtraciones de credenciales e información confidencial, identificando eventos fraudulentos como la suplantación de identidad y otras amenazas.
label;Nome completo, email, telefone com DDD, CPF e outros (uma informação por vez);Full name, email, telephone with area code, CPF and others (one piece of information at a time);Nombre completo, correo electrónico, teléfono con código de área, CPF y otros (un dato a la vez)
placeholder;Preencher e clicar em incluir;Fill in and click on add;Complete y haga clic en agregar
navbar;;;
authEmail;Autenticado como;Authenticated as;Autenticado como
profile;Meu perfil;My Profile;Mi perfil
manageUser;Gerenciar usuários;Manage users;Administrar usuarios
notification;Gerenciar notificações;Manage notifications;Administrar notificaciones
sup;Suporte;Support;Soporte
logout;Sair;Leave;Vete
tickets;;;
footerMenu;Quais as indicações de cada tipo de chamado?;What are the indications of each type of ticket?;¿Cuáles son las indicaciones de cada tipo de llamada?
modalTitle;Novo Chamado;New Ticket;Nueva llamada
suportCreate;;;
name;Suporte;Support;Soporte
category;Sistema;System;Sistema
description;Solicite suporte descrevendo sua necessidade;Request support by describing your need;Solicite soporte describiendo su necesidad
descriptionFull;Solicite suporte a equipe de operação do Mantis, descrevendo de maneira detalhada sua dúvida ou necessidade para que possamos melhor atendê-lo;Request support from the Mantis operation team, describing your question or need in detail so that we can better serve you;Solicite soporte del equipo de operación de Mantis, describiendo su pregunta o necesidad en detalle para que podamos servirle mejor
title;Título do chamado de suporte;Support ticket title;Título de la sugerencia de mejora
text;Solicitação do suporte;Support request;Solicitud de soporte
sugestCreate;;;
name;Sugerir Melhoria;Suggest Improvement;Sugerir mejora
text;Solicitação de melhoria;Improvement request;Solicitud de mejora
description;Envie ideias de melhorias e funcionalidades;Submit ideas for improvements and features;Envíe ideas para mejoras y funciones.
descriptionFull;Contribua com suas ideais de melhorias e também de novas funcionalidades que gostaria de ver no Mantis. Seu feedback é valioso para melhorar a experiência de nossos usuários.;Contribute your ideas for improvements and also for new features you would like to see in Mantis. Your feedback is valuable to improve our users' experience.;Contribuya con sus ideas para mejoras y también para nuevas funciones que le gustaría ver en Mantis. Tus comentarios son valiosos para mejorar la experiencia de nuestros usuarios.
title;Título da sugestão de melhoria;Title of improvement suggestion;Título de la sugerencia de mejora
bugCreate;;;
name;Reportar Bug;Report bug;Reportar un error
description;Indique um problema encontrado no Mantis;Please report a problem found in Mantis;Por favor reporte un problema encontrado en Mantis
descriptionFull;Indique a ocorrência de algum problema encontrado no Mantis para que nossos analistas possam avaliar e incluir as nescessárias ações de correção de backlog;Indicate the occurrence of any problem found in Mantis so that our analysts can evaluate and include the necessary backlog correction actions;Indicar la ocurrencia de cualquier problema encontrado en Mantis para que nuestros analistas puedan evaluar e incluir las acciones de corrección de backlog necesarias
title;Título da ocorrência de bug;Bug occurrence title;Título de ocurrencia de error
text;Solicitação de suporte;Support request;Solicitud de soporte
takedownCreate;;;
category;Gestão de Eventos;Event management;Gestión de eventos
description;Solicitar derrubada de perfís ou domínios;Request takedown of profiles or domains;Solicitar eliminación de perfiles o dominios
descriptionFull;Contribua com suas ideais de melhorias e também de novas funcionalidades que gostaria de ver no Mantis. Seu feedback é valioso para melhorar a experiência de nossos usuários.;Contribute your ideas for improvements and also for new features you would like to see in Mantis. Your feedback is valuable to improve our users' experience.;Contribuya con sus ideas para mejoras y también para nuevas funciones que le gustaría ver en Mantis. Tus comentarios son valiosos para mejorar la experiencia de nuestros usuarios.
title;Título da sugestão de melhoria;Title of improvement suggestion;Título de la sugerencia de mejora
text;Solicitação de melhoria;Improvement request;Solicitud de mejora
createAsset;;;
name;Criar Ativos;Create Assets;Crear activos
category;Gestão de Ativos;Asset Management;Gestión de activos
description;Adicione novos ativos para serem monitorados;Add new assets to be monitored;Agregar nuevos activos para ser monitoreados
reportPage;;;
type;TIPO;TYPE;ESCRIBE
reportName;NOME DO RELATÓRIO;REPORT NAME;REPORTAR NOMBRE
period;PERIODO;PERIOD;PERIODO
autor;AUTOR;AUTHOR;AUTOR
creationDate;DATA DE CRIAÇÂO;CREATION DATE;FECHA DE CREACIÓN
technician;Técnico;Technician;Técnico
executive;Executivo;Executive;Ejecutivo
selectAll;Selecionar todos;Select all;Seleccionar todo
showing;Exibindo;Showing;Demostración
reportTable;relatórios;reports;informes
delete;Excluir;Delete;Borrar
modalReportTakedown;Tipo de Takedown;Takedown Type;Tipo de Eliminación
URL;URL;URL;URL
newReportType;Relatório Técnico;Technical report;Relato técnico
reportTypeDetailing;Detalhamento técnico de todos os incidentes ocorridos no período;Technical details of all incidents that occurred in the period;Detalles técnicos de todas las incidencias ocurridas en el periodo
reportTypeTitle1;Sobre Relatórios do tipo Técnico;About Technical Reports;Acerca de los informes técnicos
reportTypeDescription1;Determine data de início e fim para gerar um detalhamento técnico de todos os incidentes ocorridos no período (PDF, CSV ou JSON);Determine the start and end date to generate a technical breakdown of all incidents that occurred in the period (PDF, CSV or JSON);Determine the start and end date to generate a technical breakdown of all incidents that occurred in the period (PDF, CSV or JSON)
newReportTypeEx;Relatório Executivo;Executive Report;Reporte ejecutivo
reportExDesc;Gráficos dos incidentes do último mês distribuídos por categoria;Graphs of last month's incidents broken down by category;Gráficos de incidencias del último mes desglosadas por categoría
reportTypeTitle2;Sobre Relatórios do tipo Executivo;About Executive type reports;Acerca de los informes de tipo ejecutivo
reportTypeDescription2;Defina o mês de interesse para gerar uma apresentação executiva de slides contendo gráficos da distribuição dos incidentes por categoria (PDF);Define the month of interest to generate an executive presentation of slides containing graphs of the distribution of incidents by category (PDF);Defina el mes de interés para generar una presentación ejecutiva de diapositivas que contengan gráficos de la distribución de incidentes por categoría (PDF)
about;Sobre relatórios técnicos e executivos;About technical and executive reports;Sobre informes técnicos y ejecutivos
alertModalSubTitle;A geração de relatórios compreende duas modalidades com características próprias:;Report generation comprises two modes with their own characteristics:;La generación de informes comprende dos modos con características propias:
alertDescriptionTec; Apresenta detalhamento técnico dos incidentes ocorridos no período definido pelo usuário,contendo índice geral de incidentes do documento e, para cada incidente: a origem, classe,horário de identificação, criticidade, descrição, impacto, recomendação e detalhes do evento. Para gerar o relatório técnico é necessário indicar o nome para o relatório, data de início e de fim do período desejado, e formato: PDF, CSV ou JSON.;It presents technical details of the incidents that occurred in the period defined by the user, containing the document's general index of incidents and, for each incident: the origin, class, identification time, criticality, description, impact, recommendation and details of the event. To generate the technical report, it is necessary to indicate the name for the report, start and end date of the desired period, and format: PDF, CSV or JSON.;Presenta detalles técnicos de los incidentes ocurridos en el período definido por el usuario, conteniendo el índice general de incidentes del documento y, para cada incidente: el origen, clase, tiempo de identificación, criticidad, descripción, impacto, recomendación y detalles del evento. . Para generar el informe técnico es necesario indicar el nombre del informe, fecha de inicio y finalización del periodo deseado y formato: PDF, CSV o JSON.
alertDescriptionEx; Gera uma apresentação de slides contendo gráficos da distribuição de incidentes por categoria para o mês escolhido pelo usuário, contendo apresentação do Mantis e os gráficos: detecções do mês (por categoria), detecções anuais por categoria, detecções do mês por severidade, detecções anuais por severidade e volumetria de takedowns. Gráficos anuais incluem do início do ano ao mês escolhido. Parar gerar o relatório executivo é necessário inicar o nome para o relatório, mês e ano desejados. O formato é único: PDF.;It generates a slideshow containing graphs of the distribution of incidents by category for the month chosen by the user, containing the presentation of Mantis and the graphs: detections by month (by category), detections by year by category, detections by month by severity, detections by year severity and volumetry of takedowns. Annual charts include from the beginning of the year to the chosen month. To generate the executive report, it is necessary to start the name for the desired report, month and year. The format is unique: PDF.;Genera una presentación de diapositivas que contiene gráficos de la distribución de incidentes por categoría para el mes elegido por el usuario, que contiene la presentación de Mantis y los gráficos: detecciones por mes (por categoría), detecciones por año por categoría, detecciones por mes por gravedad, detecciones por año de severidad y volumetría de derribos. Los gráficos anuales incluyen desde el comienzo del año hasta el mes elegido. Para generar el informe ejecutivo es necesario iniciar el nombre del informe deseado, mes y año. El formato es único: PDF.
backSelection;Voltar para a seleção de tipos de relatório;Back to report type selection;Volver a la selección del tipo de informe
textSelectReport;Selecione o tipo de relatório desejado;Select the desired report type;Seleccione el tipo de informe deseado
reportFeature;Quais as características e conteúdos de cada tipo de relatório?;What are the characteristics and contents of each type of report?;¿Cuáles son las características y contenidos de cada tipo de informe?
reportFill;Preencha os dados;Fill in the data;Completa los datos
nameReport;Nome do Relatório;Report Name;Reportar nombre
format;Formato;Format;Formato
Month;Mês;Month;Mes
Year;Ano;Year;Año
ComeBack;Voltar;Come back;Vuelve
Cancel;Cancelar;Cancelar;Cancel
generar;Gerar Relatório;Generate report;Generar informe
search;Procurar por relatório;Search by report;Buscar por informe
newReportButton;Novo Relatório;New Report;Nuevo reporte
ordenationDateDesc;Data mais recente;Most recent date;Fecha más reciente
ordenationDateASC;Data mais antiga;Earliest date;Fecha más temprana
ordenationTypeASC;Tipo (A - Z);Type (A - Z);Tipo (A - Z)
ordenationTypeDesc;Tipo (Z - A);Type (Z - A);Tipo (Z - A)
ordenationNameASC;Nome (A - Z);Name (A - Z);Nombre (A - Z)
ordenationNameDESC;Nome (Z - A);Name (Z - A);Nombre (Z - A)
ordenationAuthorASC;Author (A - Z);Author (A - Z);Autor (A - Z)
ordenationAuthorDESC;Author (Z - A);Author (A - A);Autor (Z - A)
order;Ordenar Por;Order by;Ordenar Por
reportFiltertype;Tipo;Type;Escribe
reportFilterEx;Executivo;Executive;Ejecutivo
reportFilterTec;Técnico;Technician;Técnico
reportFilterFormat;Formato;Format;Formato
reportFilterMe;Criados por mim;Created by me;Creado por mí
reportFilterOthers;Criados por outros;Created by others;Creado por otros
reportFilterProcessing;Processamento;Processing;Procesando
reportFilterFinished;Finalizado;Finished;Acabado
filterGroupProceed;Selecione ao menos um item em cada grupo para prosseguir;Select at least one item in each group to proceed;Seleccione al menos un elemento de cada grupo para continuar
reportFilterAutor;Autor;Author;Autor
reportClean;Limpar;Clean;Limpio
apply;Aplicar;To apply;Aplicar
reportRequired ;*Campo Obrigatório;*Required field;*Campo obligatorio
filterTitle;Filtrar Relatórios;Filter Reports;Filtrar informes
empityReportDescription;Verifique os termos de sua busca e os filtros aplicados. ou clique em Resetar para retornar à listagem original com todos os reltórios.Caso relatórios existentes não estejam sendo listados, contacte o suporte;Check your search terms and applied filters. or click Reset to return to the original listing with all reports. If existing reports are not being listed, contact support;Verifique sus términos de búsqueda y los filtros aplicados. o haga clic en Restablecer para volver a la lista original con todos los informes. Si los informes existentes no aparecen en la lista, comuníquese con soporte
empityReportSuport;Suporte;Support;Soporte
empityReportknow;Saiba mais;know more;sepa mas
empityReportTitle;Oh-oh! Nenhum resultado;Oh oh! no result;¡Ay! no hay resultados
empityReportReset;Resetar;Reset;Reiniciar
date;;;
january;Janeiro;January;Enero
february;Fevereiro;February;Febrero
march;Março;March;Marzo
april;Abril;April;Abril
may;Maio;May;Puede
june;Junho;June;Junio
July;Julho;July;Julio
august;Agosto;August;Agosto
september;Setembro;September;Septiembre
october;Outubro;October;Octubre
november;Novembro;November;Noviembre
december;Dezembro;December;Diciembre
finalDate;Data final;Final date;Fecha final
InitialDate;Data inicial;Initial date;La fecha de inicio
explore;;;
textEmpity;Verifique os termos de sua busca, os filtros e máscara de visualização aplicados.  ou clique em Resetar para retornar à listagem original com todos os eventos.Caso eventos existentes não estejam sendo listados, contacte o suporte;Check your search terms, filters and the applied visualization mask. or click Reset to return to the original listing with all events. If existing events are not being listed, contact support;Verifique sus términos de búsqueda, filtros y la máscara de visualización aplicada. o haga clic en Restablecer para volver a la lista original con todos los eventos. Si los eventos existentes no se enumeran, comuníquese con soporte
search;Procurar por evento...;Search by event...;Buscar por evento...
filterTitle;Filtrar eventos;Filter events;Filtrar eventos
dashTitlte;Dados de Eventos;Event Data;Datos de eventos
today;Hoje;Today;Hoy
week;Esta semana;This week;Esta semana
month;Este mês;This month;Este mes
last7;Últimos 7 dias;Last 7 days;Los últimos 7 días
last15;Últimos 15 dias;Last 15 days;Los últimos 15 días
