,MODELO E MOTORIZAÇÃO ,10.000,20.000,30.000,40.000,50.000,60.000,70.000,80.000,90.000,100.000
,NOVO PALIO 1.6,"R$ 292,00","R$ 548,00","R$ 724,00","R$ 740,00","R$ 548,00","R$ 1.132,00","R$ 528,00","R$ 740,00","R$ 724,00","R$ 624,00"
,FIORINO 1.4,"R$ 224,00","R$ 464,00","R$ 792,00","R$ 636,00","R$ 436,00","R$ 1.480,00","R$ 408,00","R$ 636,00","R$ 792,00","R$ 500,00"
,STRADA 1.4,"R$ 208,00","R$ 448,00","R$ 688,00","R$ 620,00","R$ 420,00","R$ 1.296,00","R$ 392,00","R$ 620,00","R$ 688,00","R$ 484,00"
,STRADA 1.8,"R$ 292,00","R$ 584,00","R$ 748,00","R$ 740,00","R$ 548,00","R$ 1.156,00","R$ 528,00","R$ 740,00","R$ 748,00","R$ 624,00"
,GRAND SIENA 1.0,"R$ 196,00","R$ 440,00","R$ 764,00","R$ 608,00","R$ 408,00","R$ 1.420,00","R$ 380,00","R$ 588,00","R$ 764,00","R$ 488,00"
,GRAND SIENA 1.4,"R$ 224,00","R$ 464,00","R$ 708,00","R$ 636,00","R$ 436,00","R$ 1.376,00","R$ 408,00","R$ 636,00","R$ 708,00","R$ 500,00"
,GRAND SIENA 1.4 TETRAFUEL,"R$ 344,00","R$ 612,00","R$ 832,00","R$ 1.256,00","R$ 556,00","R$ 1.488,00","R$ 528,00","R$ 1.256,00","R$ 832,00","R$ 648,00"
,GRAND SIENA 1.6,"R$ 292,00","R$ 604,00","R$ 744,00","R$ 760,00","R$ 564,00","R$ 1.108,00","R$ 528,00","R$ 760,00","R$ 744,00","R$ 640,00"
,DOBLO 1.8,"R$ 292,00","R$ 584,00","R$ 724,00","R$ 740,00","R$ 548,00","R$ 1.132,00","R$ 528,00","R$ 740,00","R$ 724,00","R$ 624,00"
,PALIO WEEKEND 1.4,"R$ 180,00","R$ 420,00","R$ 748,00","R$ 592,00","R$ 384,00","R$ 1.416,00","R$ 364,00","R$ 592,00","R$ 748,00","R$ 456,00"
,PALIO WEEKEND 1.6,"R$ 292,00","R$ 584,00","R$ 748,00","R$ 740,00","R$ 548,00","R$ 1.156,00","R$ 528,00","R$ 740,00","R$ 748,00","R$ 624,00"
,PALIO ADVENTURE 1.8,"R$ 292,00","R$ 588,00","R$ 732,00","R$ 736,00","R$ 556,00","R$ 1.128,00","R$ 528,00","R$ 736,00","R$ 732,00","R$ 616,00"
,PUNTO 1.4,"R$ 228,00","R$ 452,00","R$ 696,00","R$ 624,00","R$ 412,00","R$ 1.360,00","R$ 412,00","R$ 624,00","R$ 696,00","R$ 488,00"
,PUNTO 1.4 T-JET,"R$ 356,00","R$ 592,00","R$ 1.140,00","R$ 760,00","R$ 556,00","R$ 1.820,00","R$ 540,00","R$ 752,00","R$ 1.140,00","R$ 636,00"
,PUNTO 1.6,"R$ 292,00","R$ 584,00","R$ 724,00","R$ 740,00","R$ 548,00","R$ 1.132,00","R$ 528,00","R$ 740,00","R$ 724,00","R$ 624,00"
,PUNTO 1.8,"R$ 292,00","R$ 588,00","R$ 732,00","R$ 736,00","R$ 552,00","R$ 1.124,00","R$ 524,00","R$ 736,00","R$ 732,00","R$ 616,00"
,TORO 1.8 E-Torq,"R$ 360,00","R$ 680,00","R$ 644,00","R$ 864,00","R$ 708,00","R$ 1.384,00","R$ 652,00","R$ 864,00","R$ 644,00","R$ 756,00"
,TORO 2.4 TigerShark,"R$ 444,00","R$ 684,00","R$ 712,00","R$ 840,00","R$ 700,00","R$ 1.904,00","R$ 684,00","R$ 840,00","R$ 712,00","R$ 700,00"
