,,,,,,,,,,,
,PALIO ADVENTURE 1.8,"R$ 292,00","R$ 588,00","R$ 732,00","R$ 736,00","R$ 556,00","R$ 1.128,00","R$ 528,00","R$ 736,00","R$ 732,00","R$ 616,00"
,PUNTO 1.4,"R$ 228,00","R$ 452,00","R$ 696,00","R$ 624,00","R$ 412,00","R$ 1.360,00","R$ 412,00","R$ 624,00","R$ 696,00","R$ 488,00"
,PUNTO 1.4 T-JET,"R$ 356,00","R$ 592,00","R$ 1.140,00","R$ 760,00","R$ 556,00","R$ 1.820,00","R$ 540,00","R$ 752,00","R$ 1.140,00","R$ 636,00"
,PUNTO 1.6,"R$ 292,00","R$ 584,00","R$ 724,00","R$ 740,00","R$ 548,00","R$ 1.132,00","R$ 528,00","R$ 740,00","R$ 724,00","R$ 624,00"
,PUNTO 1.8,"R$ 292,00","R$ 588,00","R$ 732,00","R$ 736,00","R$ 552,00","R$ 1.124,00","R$ 524,00","R$ 736,00","R$ 732,00","R$ 616,00"
,TORO 1.8 E-Torq,"R$ 360,00","R$ 680,00","R$ 644,00","R$ 864,00","R$ 708,00","R$ 1.384,00","R$ 652,00","R$ 864,00","R$ 644,00","R$ 756,00"
,TORO 2.4 TigerShark,"R$ 444,00","R$ 684,00","R$ 712,00","R$ 840,00","R$ 700,00","R$ 1.904,00","R$ 684,00","R$ 840,00","R$ 712,00","R$ 700,00"
,,,,,,,,,,,
,Veículos com intervalos de manutenção em 20.000 KM:,,,,,,,,,,
,,,,,,,,,,,
,MODELO E MOTORIZAÇÃO ,20.000,40.000,60.000,80.000,100.000,,,,,
,TORO 2.0 DIESEL,"R$ 784,00","R$ 1.260,00","R$ 1.396,00","R$ 1.260,00","R$ 1.316,00",,,,,
,,,,,,,,,,,
,Veículos com intervalos de manutenção em 15.000 KM:,,,,,,,,,,
,,,,,,,,,,,
,MODELO E MOTORIZAÇÃO ,15.000,30.000,45.000,60.000,75.000,,,,,
,500 1.4 FLEX ,"R$ 384,00","R$ 1.024,00","R$ 904,00","R$ 1.696,00","R$ 612,00",,,,,
,500 1.4 GASOLINA,"R$ 456,00","R$ 1.848,00","R$ 1.568,00","R$ 2.064,00","R$ 1.136,00",,,,,
,NOVO DUCATO,"R$ 908,00","R$ 1.016,00","R$ 1.276,00","R$ 1.236,00","R$ 1.992,00",,,,,
,DUCATO 2.3 PROCONVE L6,"R$ 836,00","R$ 1.268,00","R$ 1.064,00","R$ 2.796,00","R$ 1.064,00",,,,,
,,,,,,,,,,,
,Veículos com intervalos de manutenção em 12.500 KM:,,,,,,,,,,
,,,,,,,,,,,
,MODELO E MOTORIZAÇÃO ,12.500,25.000,37.500,50.000,62.500,,,,,
,FREEMONT 2.4,"R$ 692,00","R$ 968,00","R$ 1.296,00","R$ 1.180,00","R$ 1.404,00",,,,,
,,,,,,,,,,,
,Veículos com intervalos de manutenção em 10.000 KM OU 01 ANO:,,,,,,,,,,
,,,,,,,,,,,
,MODELO E MOTORIZAÇÃO ,1º REVISÃO,2º REVISÃO,3º REVISÃO,4º REVISÃO,5º REVISÃO,6º REVISÃO,7º REVISÃO,8º REVISÃO,9º REVISÃO,10º REVISÃO
,UNO 1.0 FIRE,"R$ 200,00","R$ 440,00","R$ 752,00","R$ 596,00","R$ 412,00","R$ 1.400,00","R$ 376,00","R$ 596,00","R$ 752,00","R$ 460,00"
,UNO 1.0 FIREFLY,"R$ 228,00","R$ 448,00","R$ 400,00","R$ 872,00","R$ 412,00","R$ 652,00","R$ 384,00","R$ 872,00","R$ 400,00","R$ 476,00"
,PALIO WEEKEND 1.4,"R$ 180,00","R$ 412,00","R$ 644,00","R$ 576,00","R$ 372,00","R$ 1.284,00","R$ 356,00","R$ 576,00","R$ 644,00","R$ 448,00"
,PALIO WEEKEND 1.8,"R$ 292,00","R$ 576,00","R$ 732,00","R$ 720,00","R$ 528,00","R$ 1.128,00","R$ 520,00","R$ 720,00","R$ 732,00","R$ 604,00"
,FIORINO 1.4,"R$ 224,00","R$ 464,00","R$ 684,00","R$ 620,00","R$ 436,00","R$ 1.336,00","R$ 396,00","R$ 620,00","R$ 684,00","R$ 492,00"
,STRADA 1.4,"R$ 208,00","R$ 440,00","R$ 668,00","R$ 600,00","R$ 408,00","R$ 1.248,00","R$ 380,00","R$ 600,00","R$ 668,00","R$ 476,00"
,STRADA 1.8,"R$ 292,00","R$ 576,00","R$ 732,00","R$ 720,00","R$ 528,00","R$ 1.128,00","R$ 520,00","R$ 720,00","R$ 732,00","R$ 604,00"
,ARGO 1.0 FIREFLY,"R$ 228,00","R$ 468,00","R$ 392,00","R$ 1.012,00","R$ 412,00","R$ 588,00","R$ 384,00","R$ 1.012,00","R$ 392,00","R$ 496,00"
,ARGO 1.3 FIREFLY,"R$ 268,00","R$ 508,00","R$ 432,00","R$ 1.140,00","R$ 452,00","R$ 628,00","R$ 424,00","R$ 1.140,00","R$ 432,00","R$ 536,00"
,ARGO 1.8 e-Torq,"R$ 304,00","R$ 544,00","R$ 468,00","R$ 728,00","R$ 488,00","R$ 1.184,00","R$ 468,00","R$ 728,00","R$ 468,00","R$ 572,00"
,DOBLO 1.8,"R$ 292,00","R$ 576,00","R$ 732,00","R$ 720,00","R$ 540,00","R$ 1.128,00","R$ 520,00","R$ 720,00","R$ 732,00","R$ 604,00"
,UNO 1.3 FIREFLY,"R$ 268,00","R$ 488,00","R$ 440,00","R$ 1.000,00","R$ 452,00","R$ 692,00","R$ 424,00","R$ 1.000,00","R$ 440,00","R$ 516,00"
,GRAND SIENA 1.0,"R$ 196,00","R$ 428,00","R$ 748,00","R$ 592,00","R$ 400,00","R$ 1.380,00","R$ 372,00","R$ 592,00","R$ 748,00","R$ 464,00"
,GRAND SIENA 1.4,"R$ 224,00","R$ 456,00","R$ 688,00","R$ 620,00","R$ 424,00","R$ 1.336,00","R$ 396,00","R$ 620,00","R$ 688,00","R$ 492,00"
,MOBI 1.0 FIRE,"R$ 196,00","R$ 428,00","R$ 740,00","R$ 564,00","R$ 472,00","R$ 1.456,00","R$ 364,00","R$ 564,00","R$ 740,00","R$ 456,00"
,MOBI 1.0 FIREFLY,"R$ 228,00","R$ 448,00","R$ 400,00","R$ 872,00","R$ 412,00","R$ 652,00","R$ 384,00","R$ 872,00","R$ 400,00","R$ 476,00"
,CRONOS 1.3 FIREFLY My 20,"R$ 268,00","R$ 508,00","R$ 432,00","R$ 1.140,00","R$ 452,00","R$ 628,00","R$ 424,00","R$ 1.140,00","R$ 432,00","R$ 536,00"
,CRONOS 1.8 e-Torq My 20,"R$ 304,00","R$ 544,00","R$ 468,00","R$ 728,00","R$ 488,00","R$ 1.184,00","R$ 468,00","R$ 728,00","R$ 468,00","R$ 572,00"
,TORO 1.8 e-Torq My 20,"R$ 360,00","R$ 664,00","R$ 636,00","R$ 848,00","R$ 692,00","R$ 1.356,00","R$ 636,00","R$ 848,00","R$ 636,00","R$ 736,00"
,TORO 2.4 TigerShark My 20,"R$ 444,00","R$ 684,00","R$ 712,00","R$ 840,00","R$ 700,00","R$ 1.904,00","R$ 684,00","R$ 840,00","R$ 712,00","R$ 700,00"
,,,,,,,,,,,
,Veículos com intervalos de manutenção em 20.000 KM ou 01 ano:,,,,,,,,,,
,,,,,,,,,,,
,MODELO E MOTORIZAÇÃO ,1º REVISÃO,2º REVISÃO,3º REVISÃO,4º REVISÃO,5º REVISÃO,6º REVISÃO,7º REVISÃO,8º REVISÃO,9º REVISÃO,10º REVISÃO
,TORO 2.0 DIESEL My 20,"R$ 784,00","R$ 1.204,00","R$ 1.404,00","R$ 2.092,00","R$ 1.088,00","R$ 1.376,00","R$ 1.188,00","R$ 2.092,00","R$ 1.276,00","R$ 1.168,00"
